Country,Culture and informal institutions,"Formal institutions, regulation and taxation",Market conditions,Physical infra structure,Human capital,Knowledge creation and dissemination and dissemination,Finance,Networking and support
Austria,64.3,61.3,56.3,58.1,58.3,39.2,50.6,49.2
Belgium,69.2,39.4,49.3,49.2,49.1,59.4,45.6,62.1
Bulgaria,18.3,36.8,19.2,37.4,26.1,25.7,39.3,31.8
Croatia,18.9,39.3,45.3,48.4,33.1,28.3,43,53.2
Cyprus,38.4,37.4,34.5,48.3,23.3,29.3,39.2,31.2
Czech Republic,34.6,39.4,53.2,43.4,49.3,48.3,44.2,31.6
Denmark,94.8,78.1,92.8,99.7,76.3,69.2,60.5,71.6
Estonia,59.3,48.2,61.3,73.6,66.8,49.1,49.8,59.3
Finland,94.8,78.5,66.3,88.2,99.7,64.2,73.9,60.2
France,60.2,53.2,69.3,59.3,49.3,69.4,58.2,59.3
Germany,73.9,59.3,73.2,80.1,59.2,74.6,59.2,59.2
Greece,24.5,26.3,27.4,31.5,30.2,24.3,41.2,38.2
Hungary,29.3,32.8,48.2,50.1,38.2,37.4,48.1,39.2
Ireland,73.7,64.3,69.6,48.6,66.6,65.3,41.2,69.3
Italy,23.4,28.4,38.2,49.2,32.3,38.2,43.2,41.2
Latvia,32.9,34.2,29.4,60.4,36.1,33.7,36.1,46.8
Lithuania,38.1,40.4,48.4,49.3,43.2,33.8,38.4,50.3
Luxembourg,70.1,78.1,73.7,62.8,60.3,49.3,69.5,60.3
Malta,48.2,39.5,39.3,46.2,59.4,39.2,43.2,50.2
Netherlands,86.2,68.2,71,73.5,69.5,67.5,38.9,56.1
Poland,33.2,33.9,40.3,49.1,33.9,40.1,54.5,41.2
Portugal,22.3,40.2,39.2,53.2,44.2,38.1,44.7,52.1
Romania,21.3,30.1,21.9,33.6,28.1,29.1,37.2,41.2
Slovakia,29.2,29.3,48.2,34.6,29.3,39.2,42.9,29.7
Slovenia,39.6,39.2,49.3,60.3,47.3,46.2,42.3,38.7
Spain,44.6,34.3,58.3,49.3,53.2,43.6,57.3,63.4
Sweden,95.9,72.7,99.8,68.9,87.2,65.8,69.9,61.5
United Kingdom,88.3,72.1,88.2,69.2,67.2,69.2,88.2,58.2
