Country,Culture and informal institutions,"Formal institutions, regulation and taxation",Market conditions,Physical infra structure,Human capital,Knowledge creation and dissemination and dissemination,Finance,Networking and support
Austria,66.2,58.4,49.4,62.7,56.2,61.6,46.8,43.6
Belgium,60.4,43.7,76.4,47.7,54.1,62.4,50.6,63.2
Bulgaria,17,35.7,15.3,39,25,24.1,33,37.7
Croatia,16.6,34.8,35.3,44.7,32.3,25.5,42,34.6
Cyprus,32.1,46.6,23.5,39.3,41,25.4,37.5,30.7
Czech Republic,40.9,33.3,66.4,48.1,44.9,53,43.2,32.6
Denmark,94.4,78,93.9,100,76.9,70.6,60.4,71.3
Estonia,55.7,51.8,46.3,80.9,62.7,33.1,51.7,51.3
Finland,92.6,72.9,66.1,55.9,100,62.5,72.7,58.2
France,50.4,47.4,68.9,60.4,45.9,66.2,60.7,55.4
Germany,74.5,62.1,89,70.9,56,83.1,57.2,57.8
Greece,18.3,28.6,26.7,30.2,33.1,26.8,40.5,32.4
Hungary,21.9,29.6,49.2,50,32.9,36.8,38.8,33.8
Ireland,65.4,56.7,90.7,59.2,64.8,46.3,42.2,71.2
Italy,22.6,31.1,44.9,48.5,33.2,44.9,43.2,43
Latvia,31.4,35.2,28.2,52.1,34.5,22,47.4,34.7
Lithuania,40.9,39,53.9,57.9,42,32.8,34.2,49.2
Luxembourg,75.4,86.5,54.9,58.4,59,43.7,62,80
Malta,41.3,37.3,63.6,36.8,56.2,35.9,40.5,51.7
Netherlands,99.2,67.6,78,81.6,76.7,86.6,67.6,57.7
Poland,29.1,31.3,52.9,46,33.7,39.1,48.4,39.4
Portugal,23,39.5,35.2,51,40.8,36.4,43.2,43
Romania,19.9,37.9,19.4,58.7,22,29.2,35.5,35.7
Slovakia,27.2,26.3,45.8,38,30.4,37.8,38.1,29.8
Slovenia,37.5,37.5,51.7,59.2,46.1,44.7,34.2,33.8
Spain,42.4,36,54.9,56.2,52.2,39.8,53.1,61.3
Sweden,95.6,73,100,57.7,90.6,64.9,70.1,60.6
United Kingdom,79.2,68.6,96,60.8,76.1,72.9,87.5,56.1
