,Ai,Variability,dir list
0,Austria,6.465713341008428e-05,$\downarrow$
1,Belgium,0.0011102112711101064,$\downarrow$
2,Bulgaria,0.007537822671799921,$\downarrow$
3,Croatia,0.017120781137473617,$\uparrow$
4,Cyprus,0.012188509962499428,$\downarrow$
5,Czech Republic,0.0033715410702203075,$\downarrow$
6,Denmark,0.0003142097474047034,$\uparrow$
7,Estonia,0.0017613300449009772,$\uparrow$
8,Finland,0.0017290141647561263,$\uparrow$
9,France,0.0035549485206290976,$\uparrow$
10,Germany,8.679153947188656e-05,$\uparrow$
11,Greece,0.0018282812421434036,$\downarrow$
12,Hungary,0.009645193189506074,$\uparrow$
13,Ireland,0.00027751741339876457,$\uparrow$
14,Italy,0.0023095157663095556,$\downarrow$
15,Latvia,0.0026389900118212184,$\uparrow$
16,Lithuania,0.000516456234022078,$\downarrow$
17,Luxembourg,0.0021388801619813824,$\downarrow$
18,Malta,0.009599341256715577,$\downarrow$
19,Netherlands,0.0015850383903855958,$\downarrow$
20,Poland,0.003260968724908442,$\uparrow$
21,Portugal,0.0019146563456170496,$\uparrow$
22,Romania,0.04361196462507744,$\uparrow$
23,Slovakia,6.065734399252065e-05,$\uparrow$
24,Slovenia,0.0015695740394496838,$\uparrow$
25,Spain,0.0014812675947247778,$\uparrow$
26,Sweden,0.00045386927129420496,$\uparrow$
27,United Kingdom,0.00017448559613952863,$\uparrow$
